T (°C),Ch1 (V),Ch2 (mV)
23.3,,
33.1,,
43.2,4.06,68.8
53.1,4.06,64.4
63.3,,
73.1,,
83.4,4.06,51.6
88.4,,
93.1,,
98.2,4.04,42.8
103.3,,
108.1,4.04,36.8
113.2,4.04,32.4
118.4,,
123.2,4.04,22.8
127.4,4.04,11.2
130.4,,
134.7,4.08,2.8
127.4,,
126.4,,
125.4,,
124.4,,
120.4,,
