T,Ch1,Ch2,
23.3,4.1,75
33.1,4.06,72
43.2,4.06,68.8
53.1,4.06,64.4
63.3,4.06,60
73.1,4.06,56
83.4,4.06,51.6
88,4.06,48.4
93.1,4.04,46
98.2,4.04,42.8
103.3,4.04,40
108.1,4.04,36.8
113.2,4.04,32.4
118,4.04,28.8
123.2,4.04,22.8
127.4,4.04,11.2
130,4.04,6.4
134.7,4.08,2.8
127,4.08,2.32
126,4.08,2.72
125,4.04,2.64
124,4.06,3.52
120,4.04,7.6
