Unit:(mV)
                     CH1         CH2
Frequency     700.046 Hz           ?
Period          1.428 ms           ?
00001              -4.00       -2.00
00002              -6.00       -5.60
00003              -8.00       -8.40
00004             -10.00      -11.60
00005             -12.00      -14.80
00006             -18.00      -18.40
00007             -22.00      -22.00
00008             -32.00      -26.00
00009             -56.00      -28.80
00010            -146.00      -30.80
00011            -200.00      -31.60
00012            -212.00      -31.20
00013            -216.00      -31.20
00014            -220.00      -31.60
00015            -224.00      -30.80
00016            -226.00      -31.20
00017            -230.00      -31.20
00018            -232.00      -30.80
00019            -234.00      -30.80
00020            -234.00      -31.20
00021            -234.00      -31.20
00022            -236.00      -31.20
00023            -234.00      -31.20
00024            -234.00      -30.40
00025            -232.00      -31.20
00026            -230.00      -31.20
00027            -228.00      -31.20
00028            -226.00      -31.20
00029            -224.00      -31.20
00030            -218.00      -32.00
00031            -216.00      -31.20
00032            -210.00      -30.80
00033            -206.00      -31.60
00034            -202.00      -31.20
00035            -196.00      -30.40
00036            -190.00      -31.20
00037            -184.00      -30.40
00038            -178.00      -30.40
00039            -172.00      -30.80
00040            -164.00      -31.20
00041            -158.00      -30.40
00042            -150.00      -30.80
00043            -142.00      -30.40
00044            -134.00      -30.40
00045            -124.00      -30.00
00046            -116.00      -30.00
00047            -108.00      -29.60
00048            -100.00      -29.60
00049             -92.00      -28.80
00050             -84.00      -28.80
00051             -76.00      -28.40
00052             -68.00      -29.20
00053             -60.00      -28.00
00054             -54.00      -28.00
00055             -48.00      -27.60
00056             -42.00      -27.20
00057             -38.00      -26.00
00058             -34.00      -26.00
00059             -30.00      -24.40
00060             -26.00      -23.60
00061             -24.00      -22.00
00062             -20.00      -20.40
00063             -16.00      -18.80
00064             -14.00      -17.60
00065             -12.00      -14.80
00066             -10.00      -13.20
00067              -8.00      -11.20
00068              -6.00       -9.20
00069              -2.00       -6.40
00070              -2.00       -4.00
00071               0.00       -1.60
00072               2.00        1.60
00073               4.00        4.80
00074               6.00        8.00
00075               8.00       11.60
00076              10.00       14.80
00077              16.00       18.00
00078              20.00       21.60
00079              28.00       24.80
00080              44.00       28.40
00081             110.00       31.20
00082             192.00       32.00
00083             208.00       32.00
00084             214.00       32.00
00085             218.00       31.60
00086             222.00       32.00
00087             226.00       31.20
00088             228.00       31.60
00089             230.00       32.00
00090             232.00       32.00
00091             232.00       32.00
00092             232.00       32.00
00093             234.00       32.00
00094             234.00       32.00
00095             232.00       31.60
00096             232.00       31.60
00097             230.00       32.00
00098             228.00       31.60
00099             226.00       31.20
00100             224.00       31.20
00101             220.00       31.20
00102             216.00       31.60
00103             212.00       31.20
00104             208.00       31.60
00105             204.00       31.20
00106             198.00       30.80
00107             192.00       30.80
00108             186.00       31.20
00109             180.00       31.60
00110             174.00       31.20
00111             168.00       30.80
00112             160.00       30.80
00113             152.00       30.80
00114             144.00       30.40
00115             136.00       30.40
00116             128.00       30.40
00117             120.00       30.00
00118             110.00       30.40
00119             102.00       30.00
00120              94.00       29.60
00121              88.00       29.60
00122              78.00       29.60
00123              72.00       28.80
00124              62.00       29.20
00125              56.00       28.40
00126              48.00       28.40
00127              44.00       28.00
00128              38.00       27.60
00129              34.00       26.40
00130              30.00       25.60
00131              26.00       24.00
00132              24.00       23.60
00133              20.00       22.00
00134              16.00       20.40
00135              14.00       18.40
00136              12.00       17.20
00137              10.00       14.80
00138               8.00       12.80
00139               6.00       10.40
00140               4.00        8.00
00141               2.00        5.60
00142              -2.00        3.20
00143              -2.00        0.40
00144              -4.00       -2.40
00145              -6.00       -5.60
00146              -8.00       -9.20
00147             -10.00      -13.20
00148             -12.00      -16.00
00149             -18.00      -19.20
00150             -24.00      -23.20
00151             -34.00      -26.00
00152             -62.00      -29.60
00153            -158.00      -31.60
00154            -204.00      -31.60
00155            -212.00      -30.80
00156            -218.00      -31.60
00157            -220.00      -32.00
00158            -224.00      -32.00
00159            -226.00      -31.20
00160            -230.00      -31.60
00161            -232.00      -31.20
00162            -232.00      -31.20
00163            -234.00      -31.20
00164            -234.00      -31.20
00165            -234.00      -31.60
00166            -234.00      -32.00
