Unit:(mV)
                     CH1         CH2
Frequency     700.007 Hz           ?
Period          1.429 ms           ?
00001              -2.00       -0.80
00002              -4.00       -3.60
00003              -6.00       -6.80
00004             -10.00       -9.60
00005             -12.00      -13.20
00006             -14.00      -16.40
00007             -20.00      -20.00
00008             -32.00      -23.20
00009             -76.00      -25.60
00010            -176.00      -26.80
00011            -200.00      -27.20
00012            -206.00      -27.20
00013            -210.00      -27.60
00014            -214.00      -26.80
00015            -218.00      -26.80
00016            -222.00      -26.40
00017            -226.00      -26.40
00018            -228.00      -27.20
00019            -230.00      -27.20
00020            -230.00      -26.80
00021            -232.00      -27.20
00022            -234.00      -26.80
00023            -234.00      -26.80
00024            -234.00      -26.80
00025            -234.00      -26.80
00026            -232.00      -26.80
00027            -230.00      -27.20
00028            -228.00      -26.80
00029            -226.00      -26.80
00030            -222.00      -27.20
00031            -220.00      -26.80
00032            -216.00      -26.40
00033            -212.00      -27.20
00034            -208.00      -26.80
00035            -204.00      -26.80
00036            -198.00      -26.80
00037            -192.00      -26.80
00038            -186.00      -26.00
00039            -180.00      -26.80
00040            -174.00      -26.00
00041            -166.00      -26.00
00042            -160.00      -26.40
00043            -152.00      -26.00
00044            -144.00      -26.00
00045            -136.00      -26.00
00046            -128.00      -26.00
00047            -118.00      -26.00
00048            -110.00      -25.60
00049            -102.00      -25.20
00050             -94.00      -26.00
00051             -84.00      -25.60
00052             -76.00      -25.20
00053             -68.00      -24.80
00054             -60.00      -24.80
00055             -54.00      -24.80
00056             -48.00      -23.60
00057             -40.00      -22.80
00058             -36.00      -23.20
00059             -30.00      -22.80
00060             -28.00      -21.60
00061             -24.00      -20.80
00062             -20.00      -20.00
00063             -18.00      -18.80
00064             -14.00      -16.80
00065             -12.00      -15.20
00066             -10.00      -13.20
00067              -8.00      -11.60
00068              -6.00      -10.00
00069              -4.00       -7.60
00070              -2.00       -5.20
00071               0.00       -2.80
00072               0.00        0.00
00073               2.00        2.40
00074               4.00        6.00
00075               6.00        8.80
00076               8.00       12.00
00077              12.00       15.20
00078              18.00       18.40
00079              26.00       22.00
00080              52.00       25.20
00081             156.00       26.80
00082             194.00       26.80
00083             202.00       26.80
00084             208.00       26.40
00085             212.00       26.80
00086             216.00       26.40
00087             220.00       26.40
00088             224.00       26.80
00089             226.00       26.40
00090             228.00       26.80
00091             230.00       26.80
00092             230.00       27.20
00093             232.00       26.80
00094             232.00       27.20
00095             232.00       26.80
00096             232.00       27.20
00097             232.00       27.20
00098             230.00       26.80
00099             228.00       26.80
00100             226.00       26.80
00101             224.00       26.40
00102             220.00       26.80
00103             218.00       26.80
00104             214.00       26.80
00105             208.00       26.40
00106             204.00       26.00
00107             198.00       26.40
00108             194.00       26.40
00109             188.00       26.40
00110             182.00       25.60
00111             176.00       26.00
00112             170.00       26.00
00113             162.00       26.00
00114             156.00       26.00
00115             146.00       25.60
00116             138.00       26.00
00117             130.00       26.00
00118             122.00       26.00
00119             114.00       26.00
00120             106.00       25.60
00121              96.00       26.00
00122              88.00       25.60
00123              78.00       25.60
00124              70.00       25.20
00125              62.00       24.80
00126              54.00       24.80
00127              48.00       24.40
00128              42.00       24.00
00129              36.00       24.00
00130              30.00       22.80
00131              28.00       22.00
00132              24.00       21.20
00133              20.00       20.00
00134              18.00       18.80
00135              14.00       17.60
00136              12.00       16.00
00137               8.00       14.80
00138               8.00       12.80
00139               6.00       10.40
00140               4.00        8.40
00141               2.00        6.40
00142               0.00        4.00
00143               0.00        1.20
00144              -2.00       -2.00
00145              -4.00       -4.80
00146              -6.00       -8.00
00147              -8.00      -10.80
00148             -12.00      -14.00
00149             -16.00      -17.20
00150             -22.00      -20.80
00151             -34.00      -24.00
00152             -92.00      -26.80
00153            -182.00      -27.20
00154            -200.00      -27.60
00155            -206.00      -27.60
00156            -210.00      -27.60
00157            -216.00      -27.20
00158            -220.00      -27.20
00159            -222.00      -26.80
00160            -226.00      -26.80
00161            -228.00      -26.00
00162            -230.00      -26.80
00163            -232.00      -27.20
00164            -232.00      -26.80
00165            -234.00      -27.20
00166            -234.00      -27.60
00167            -234.00      -27.20
00168            -234.00      -27.20
00169            -232.00      -26.80
00170            -230.00      -27.20
00171            -228.00      -26.80
00172            -226.00      -26.80
00173            -224.00      -26.40
00174            -220.00      -27.60
00175            -216.00      -26.80
00176            -212.00      -26.80
00177            -208.00      -26.00
00178            -204.00      -26.80
00179            -198.00      -26.40
00180            -188.00      -27.20
00181            -186.00      -26.00
00182            -178.00      -26.40
00183            -172.00      -26.00
00184            -166.00      -26.00
00185            -158.00      -26.40
00186            -152.00      -26.00
00187            -144.00      -26.00
00188            -136.00      -26.00
00189            -126.00      -25.60
00190            -120.00      -25.60
00191            -110.00      -26.00
00192            -102.00      -25.60
00193             -92.00      -26.00
00194             -84.00      -24.80
00195             -76.00      -25.20
00196             -68.00      -24.80
00197             -58.00      -25.20
00198             -52.00      -24.80
00199             -46.00      -24.40
00200             -40.00      -24.00
00201             -36.00      -23.60
00202             -32.00      -22.40
00203             -26.00      -22.00
00204             -22.00      -20.80
00205             -20.00      -19.60
00206             -16.00      -18.80
00207             -14.00      -17.20
00208             -12.00      -15.60
00209              -8.00      -13.60
00210              -8.00      -11.60
00211              -6.00       -9.60
00212              -4.00       -7.20
00213              -2.00       -4.80
00214               0.00       -2.40
00215               2.00        0.40
00216               2.00        3.20
00217               4.00        6.00
00218               6.00        9.60
00219               8.00       12.40
00220              12.00       16.00
00221              18.00       19.60
00222              28.00       22.80
00223              62.00       26.00
00224             166.00       26.80
00225             196.00       27.20
00226             202.00       27.20
00227             208.00       27.20
00228             212.00       27.20
00229             216.00       26.40
00230             220.00       26.80
00231             222.00       26.80
00232             226.00       26.80
00233             228.00       26.40
00234             230.00       26.80
00235             232.00       26.40
00236             232.00       26.80
00237             232.00       26.40
00238             232.00       26.40
00239             232.00       26.40
00240             232.00       26.80
00241             230.00       26.00
00242             228.00       26.40
00243             226.00       26.40
00244             224.00       26.80
00245             220.00       26.40
00246             216.00       26.40
00247             212.00       26.40
00248             208.00       26.40
00249             204.00       26.40
00250             198.00       26.00
00251             192.00       26.40
00252             186.00       26.40
00253             180.00       26.00
00254             174.00       26.00
00255             168.00       26.00
00256             160.00       26.40
00257             152.00       26.00
00258             146.00       26.40
00259             138.00       26.00
00260             130.00       26.00
00261             122.00       26.00
00262             114.00       25.60
00263             104.00       25.20
00264              96.00       24.80
00265              86.00       25.20
00266              78.00       25.20
00267              68.00       25.20
00268              62.00       25.20
00269              54.00       24.40
00270              46.00       24.00
00271              40.00       24.00
00272              36.00       23.60
00273              32.00       22.80
00274              28.00       22.00
00275              22.00       21.20
00276              20.00       20.00
00277              16.00       19.20
00278              14.00       17.20
00279              12.00       16.00
00280               8.00       14.80
00281               8.00       12.40
00282               4.00       10.00
00283               4.00        8.80
00284               2.00        6.00
00285               0.00        3.60
00286              -2.00        1.20
00287              -4.00       -1.20
00288              -4.00       -4.40
00289              -8.00       -7.60
00290             -10.00      -10.80
00291             -12.00      -14.00
00292             -16.00      -17.20
00293             -22.00      -20.40
00294             -38.00      -24.40
00295            -110.00      -26.80
00296            -188.00      -26.80
00297            -202.00      -26.80
00298            -208.00      -27.60
00299            -212.00      -27.20
00300            -216.00      -26.80
00301            -220.00      -27.20
00302            -222.00      -27.20
00303            -226.00      -27.20
00304            -228.00      -27.60
00305            -230.00      -26.80
00306            -232.00      -27.20
00307            -232.00      -27.60
00308            -232.00      -26.80
00309            -234.00      -27.20
00310            -234.00      -27.20
00311            -232.00      -27.20
00312            -232.00      -27.60
00313            -230.00      -26.80
00314            -228.00      -27.20
00315            -226.00      -26.80
00316            -222.00      -26.80
00317            -218.00      -26.80
00318            -216.00      -26.80
00319            -212.00      -26.40
00320            -206.00      -26.80
00321            -200.00      -26.80
00322            -196.00      -27.20
00323            -190.00      -26.80
00324            -186.00      -26.80
00325            -178.00      -26.40
00326            -170.00      -26.80
00327            -164.00      -26.80
00328            -158.00      -26.80
00329            -150.00      -26.80
00330            -142.00      -26.40
00331            -134.00      -26.40
00332            -126.00      -26.40
00333            -118.00      -26.00
00334            -108.00      -26.00
00335            -100.00      -25.60
00336             -90.00      -25.60
00337             -82.00      -25.60
00338             -72.00      -25.20
00339             -66.00      -25.20
00340             -58.00      -24.80
00341             -50.00      -24.80
00342             -44.00      -24.00
00343             -40.00      -24.00
00344             -34.00      -22.80
00345             -30.00      -22.00
00346             -26.00      -21.60
00347             -22.00      -20.00
00348             -20.00      -19.60
00349             -16.00      -18.00
00350             -14.00      -16.40
00351             -12.00      -14.80
00352             -10.00      -12.80
00353              -8.00      -11.20
00354              -6.00       -8.80
00355              -4.00       -6.80
00356              -2.00       -4.40
00357               0.00       -2.00
00358               0.00        0.80
00359               4.00        3.20
00360               4.00        6.40
00361               8.00        9.60
00362              10.00       12.80
00363              12.00       16.40
00364              18.00       19.60
00365              30.00       22.80
00366              74.00       26.40
00367             174.00       26.80
00368             198.00       26.40
00369             204.00       26.80
00370             208.00       26.40
00371             212.00       26.80
00372             218.00       26.40
00373             220.00       26.80
00374             224.00       26.80
00375             226.00       26.40
00376             228.00       26.40
00377             230.00       26.40
00378             232.00       26.40
00379             232.00       27.20
00380             232.00       26.80
00381             232.00       27.20
00382             232.00       27.20
00383             232.00       26.80
00384             228.00       27.20
00385             228.00       26.80
00386             226.00       26.80
00387             222.00       26.40
00388             220.00       26.80
00389             216.00       26.40
