archivo,ruta,frecuencia_Hz,modelo,tau1_us,error_tau1_us,tau2_us,error_tau2_us,imagen,rmse_mV,tau_us,error_tau_us
12Hz___2_5KSs(3).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\12Hz___2_5KSs(3).txt",12.0,exponencial simple,,,,,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\12Hz___2_5KSs(3)_presentacion.png",203.80504571435063,3042.940127327025,44.23674688319383
13_700kHz___5MSs(1).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\13_700kHz___5MSs(1).txt",13700.0,exponencial simple,,,,,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\13_700kHz___5MSs(1)_presentacion.png",80.20867060757067,311.0150408202919,86.87497924574521
13_700kHz___5MSs(2).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\13_700kHz___5MSs(2).txt",13700.0,exponencial simple,,,,,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\13_700kHz___5MSs(2)_presentacion.png",304.513336205012,9999.999765558094,346990.8285303172
13_700kHz___5MSs(3).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\13_700kHz___5MSs(3).txt",13700.0,exponencial simple,,,,,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\13_700kHz___5MSs(3)_presentacion.png",82.54283072945464,181.1549964271914,30.092779703849228
25Hz___5KSs(1).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\25Hz___5KSs(1).txt",25.0,exponencial simple,,,,,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\25Hz___5KSs(1)_presentacion.png",379.69433047248833,2616.6216253434513,54.245537644301976
25Hz___5KSs(2).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\25Hz___5KSs(2).txt",25.0,exponencial simple,,,,,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\25Hz___5KSs(2)_presentacion.png",399.3929764036804,2587.0754671949203,55.76627180364678
25Hz___5KSs(3).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\25Hz___5KSs(3).txt",25.0,exponencial simple,,,,,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\25Hz___5KSs(3)_presentacion.png",333.3841402184411,2782.8046712493206,52.40406972549461
95Hz___25KSs(1).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\95Hz___25KSs(1).txt",95.0,doble exponencial,85.72740276564953,1.0002080564596718,1975.705362182663,31.045560514489665,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\95Hz___25KSs(1)_presentacion.png",94.43214244863375,,
95Hz___25KSs(2).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\95Hz___25KSs(2).txt",95.0,doble exponencial,84.46556318754686,0.9659952973482584,1912.8752788226445,30.8952581837321,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\95Hz___25KSs(2)_presentacion.png",99.81185264321017,,
95Hz___25KSs(3).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\95Hz___25KSs(3).txt",95.0,doble exponencial,85.99820776908733,0.9900493427410313,1950.0320453489217,30.606886375335908,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\95Hz___25KSs(3)_presentacion.png",95.55059385793697,,
143Hz___50KSs(1).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\143Hz___50KSs(1).txt",143.0,doble exponencial,74.00988765410955,0.6968766306176704,1213.0523168330699,19.07356203185702,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\143Hz___50KSs(1)_presentacion.png",82.31819803572955,,
143Hz___50KSs(2).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\143Hz___50KSs(2).txt",143.0,doble exponencial,75.21687516127689,0.7994357888227422,1234.9042004482988,21.540221083801857,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\143Hz___50KSs(2)_presentacion.png",89.45572596179953,,
143Hz___50KSs(3).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\143Hz___50KSs(3).txt",143.0,doble exponencial,74.05307027509888,0.6927326989984308,1206.6898388658558,18.58149430885025,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\143Hz___50KSs(3)_presentacion.png",81.3485810898725,,
