archivo,ruta,frecuencia_Hz,fs_Ss,dt_us,cantidad_muestras,flancos,cantidad_ramas,tau_s,tau_us,error_tau_s,error_tau_us,rmse_mV,imagen,modelo,tau2_s,tau2_us,error_tau2_s,error_tau2_us
6_703kHz___2_5MSs(3).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\6_703kHz___2_5MSs(3).txt",6703.0,2500000.0,0.4,1000,"[88, 272, 461, 645, 834]",4,7.245825044696311e-05,72.4582504469631,1.2002012155822462e-06,1.2002012155822464,70.78777876719418,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\6_703kHz___2_5MSs(3)_ajuste.png",exponencial simple,,,,
12Hz___2_5KSs(1).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\12Hz___2_5KSs(1).txt",12.0,2500.0,400.0,1000,"[84, 187, 292, 394, 499, 601, 706, 808, 913]",8,0.0030103843128607742,3010.384312860774,5.903080271734026e-05,59.03080271734026,268.0752433563522,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\12Hz___2_5KSs(1)_ajuste.png",exponencial simple,,,,
12Hz___2_5KSs(2).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\12Hz___2_5KSs(2).txt",12.0,2500.0,400.0,1000,"[84, 186, 291, 393, 498, 600, 705, 807, 912]",8,0.003042940127327025,3042.940127327025,4.423674688319383e-05,44.23674688319383,203.80504571435063,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\12Hz___2_5KSs(2)_ajuste.png",exponencial simple,,,,
12Hz___2_5KSs(3).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\12Hz___2_5KSs(3).txt",12.0,2500.0,400.0,1000,"[84, 186, 291, 393, 498, 600, 705, 807, 912]",8,0.003042940127327025,3042.940127327025,4.423674688319383e-05,44.23674688319383,203.80504571435063,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\12Hz___2_5KSs(3)_ajuste.png",exponencial simple,,,,
13_700kHz___5MSs(1).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\13_700kHz___5MSs(1).txt",13700.0,5000000.0,0.2,1000,"[17, 197, 381, 561, 745, 924]",5,0.0003110150408202919,311.0150408202919,8.687497924574521e-05,86.87497924574521,80.20867060757067,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\13_700kHz___5MSs(1)_ajuste.png",exponencial simple,,,,
13_700kHz___5MSs(2).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\13_700kHz___5MSs(2).txt",13700.0,5000000.0,0.2,1000,"[16, 195, 380, 559, 743, 923]",5,0.009999999765558093,9999.999765558094,0.34699082853031715,346990.8285303172,304.513336205012,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\13_700kHz___5MSs(2)_ajuste.png",exponencial simple,,,,
13_700kHz___5MSs(3).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\13_700kHz___5MSs(3).txt",13700.0,5000000.0,0.2,1000,"[15, 195, 379, 559, 743, 922]",5,0.0001811549964271914,181.1549964271914,3.0092779703849227e-05,30.092779703849228,82.54283072945464,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\13_700kHz___5MSs(3)_ajuste.png",exponencial simple,,,,
25Hz___5KSs(1).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\25Hz___5KSs(1).txt",25.0,5000.0,200.0,1000,"[8, 108, 203, 303, 399, 498, 594, 693, 789, 889, 984]",10,0.0026166216253434515,2616.6216253434513,5.4245537644301976e-05,54.245537644301976,379.69433047248833,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\25Hz___5KSs(1)_ajuste.png",exponencial simple,,,,
25Hz___5KSs(2).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\25Hz___5KSs(2).txt",25.0,5000.0,200.0,1000,"[7, 107, 203, 302, 398, 498, 593, 693, 789, 888, 984]",10,0.00258707546719492,2587.0754671949203,5.5766271803646784e-05,55.76627180364678,399.3929764036804,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\25Hz___5KSs(2)_ajuste.png",exponencial simple,,,,
25Hz___5KSs(3).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\25Hz___5KSs(3).txt",25.0,5000.0,200.0,1000,"[8, 107, 203, 303, 398, 498, 594, 693, 789, 889, 984]",10,0.0027828046712493207,2782.8046712493206,5.2404069725494606e-05,52.40406972549461,333.3841402184411,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\25Hz___5KSs(3)_ajuste.png",exponencial simple,,,,
38kHz___10MSs(1).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\38kHz___10MSs(1).txt",38000.0,10000000.0,0.1,1000,"[44, 45, 173, 174, 306, 435, 568, 696, 697, 829, 958]",10,0.009999990264672054,9999.990264672053,0.0006479205960138942,647.9205960138943,327.22764113666847,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\38kHz___10MSs(1)_ajuste.png",exponencial simple,,,,
38kHz___10MSs(2).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\38kHz___10MSs(2).txt",38000.0,10000000.0,0.1,1000,"[43, 172, 304, 433, 566, 695, 828, 956]",7,0.009999989508040165,9999.989508040164,2.899705810196005,2899705.810196005,287.232090034899,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\38kHz___10MSs(2)_ajuste.png",exponencial simple,,,,
38kHz___10MSs(3).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\38kHz___10MSs(3).txt",38000.0,10000000.0,0.1,1000,"[44, 173, 306, 434, 435, 567, 696, 829, 958]",8,0.009999999742110332,9999.999742110333,0.0004888077942430035,488.80779424300346,261.11500681816267,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\38kHz___10MSs(3)_ajuste.png",exponencial simple,,,,
95Hz___25KSs(1).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\95Hz___25KSs(1).txt",95.0,25000.0,40.0,1000,"[19, 151, 281, 414, 544, 677, 806, 939]",7,8.572740276564953e-05,85.72740276564953,1.0002080564596718e-06,1.0002080564596718,94.43214244863375,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\95Hz___25KSs(1)_ajuste.png",doble exponencial,0.001975705362182663,1975.705362182663,3.1045560514489666e-05,31.045560514489665
95Hz___25KSs(2).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\95Hz___25KSs(2).txt",95.0,25000.0,40.0,1000,"[20, 153, 282, 415, 545, 678, 808, 941]",7,8.446556318754686e-05,84.46556318754686,9.659952973482584e-07,0.9659952973482584,99.81185264321017,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\95Hz___25KSs(2)_ajuste.png",doble exponencial,0.0019128752788226445,1912.8752788226445,3.08952581837321e-05,30.8952581837321
95Hz___25KSs(3).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\95Hz___25KSs(3).txt",95.0,25000.0,40.0,1000,"[20, 153, 282, 415, 545, 678, 808, 941]",7,8.599820776908733e-05,85.99820776908733,9.900493427410313e-07,0.9900493427410313,95.55059385793697,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\95Hz___25KSs(3)_ajuste.png",doble exponencial,0.0019500320453489216,1950.0320453489217,3.0606886375335906e-05,30.606886375335908
143Hz___50KSs(1).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\143Hz___50KSs(1).txt",143.0,50000.0,20.0,1000,"[39, 216, 390, 567, 741, 918]",5,7.400988765410955e-05,74.00988765410955,6.968766306176704e-07,0.6968766306176704,82.31819803572955,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\143Hz___50KSs(1)_ajuste.png",doble exponencial,0.0012130523168330698,1213.0523168330699,1.907356203185702e-05,19.07356203185702
143Hz___50KSs(2).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\143Hz___50KSs(2).txt",143.0,50000.0,20.0,1000,"[38, 216, 389, 567, 740, 918]",5,7.521687516127688e-05,75.21687516127689,7.994357888227422e-07,0.7994357888227422,89.45572596179953,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\143Hz___50KSs(2)_ajuste.png",doble exponencial,0.0012349042004482988,1234.9042004482988,2.1540221083801857e-05,21.540221083801857
143Hz___50KSs(3).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\143Hz___50KSs(3).txt",143.0,50000.0,20.0,1000,"[39, 216, 390, 567, 741, 918]",5,7.405307027509888e-05,74.05307027509888,6.927326989984309e-07,0.6927326989984308,81.3485810898725,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\143Hz___50KSs(3)_ajuste.png",doble exponencial,0.0012066898388658558,1206.6898388658558,1.858149430885025e-05,18.58149430885025
