frecuencia_Hz,cantidad_mediciones,modelo,tau_promedio_us,tau_desviacion_us,tau_error_media_us,tau_error_propagado_us,tau2_promedio_us,tau2_desviacion_us,tau2_error_media_us,tau2_error_propagado_us,rmse_promedio_mV
12.0,3,exponencial simple,3032.0881891716076,18.796108245777482,10.851938155416974,28.671346941713747,,,,,225.22844492835114
25.0,3,exponencial simple,2662.1672545958977,105.51437621453873,60.91875351083939,31.267025493662548,,,,,370.8238156982032
95.0,3,doble exponencial,85.39705790742791,0.8179826693435722,0.47226251433796007,0.5689913855789747,1946.2042287847428,31.589459927220496,18.23818319253565,17.8111241752982,96.59819631659364
143.0,3,doble exponencial,74.42661103016178,0.6847293132210907,0.39532865331022427,0.4222444277657891,1218.2154520490749,14.798852111575107,8.54412125031535,11.416624446014358,84.37416836246719
444.0,3,doble exponencial,64.41879011860982,0.8727545647372907,0.5038850828875495,0.3317258918063016,588.8744833221442,22.53310253649015,13.009492815120028,12.964098603083357,70.7771395927271
1132.0,3,exponencial simple,78.58791359872247,0.21944593736893891,0.12669717101252664,0.19973403268437562,,,,,115.005500829766
3170.0,3,exponencial simple,68.45800877607454,0.9576636090228381,0.5529073424624441,0.32245815776832754,,,,,119.17418792728542
6703.0,3,exponencial simple,77.19395718631671,6.588357914556316,3.803790215486691,2.5185850000621777,,,,,169.954835037658
13700.0,3,exponencial simple,3497.3899342685254,5631.799612137336,3251.521022089521,115663.61357017329,,,,,155.75494584734577
38000.0,3,exponencial simple,9999.993171607517,0.00570278470542656,0.0032925042848085053,966568.6412607934,,,,,291.8582459965767
