Unit:(mV)
                     CH1         CH2
Frequency           <2Hz           ?
Period               N/A           ?
00001           52000.00      600.00
00002           22000.00    -1400.00
00003           22000.00    -1400.00
00004           26000.00     -400.00
00005           64000.00     1200.00
00006           56000.00    -1000.00
00007           24000.00     -400.00
00008           76000.00      200.00
00009           52000.00        0.00
00010           66000.00      400.00
00011           80000.00      400.00
00012           68000.00      800.00
00013           58000.00        0.00
00014           50000.00     -800.00
00015           22000.00    -1000.00
00016           36000.00    -1200.00
00017           52000.00     1400.00
00018           46000.00      600.00
00019           58000.00        0.00
00020           48000.00     -200.00
00021           66000.00     -200.00
00022           38000.00      400.00
00023           54000.00     -600.00
00024           48000.00      400.00
00025           58000.00        0.00
00026           62000.00     1600.00
00027           56000.00        0.00
00028           64000.00      200.00
00029           58000.00     1200.00
00030           72000.00      200.00
00031           70000.00        0.00
00032           32000.00      200.00
00033           18000.00     -400.00
00034           38000.00     1000.00
00035           40000.00      600.00
00036           34000.00      400.00
00037           40000.00    -1600.00
00038           50000.00    -1200.00
00039           22000.00     -200.00
00040           32000.00     1200.00
00041           80000.00     -400.00
00042           46000.00     -400.00
00043           70000.00      600.00
00044           52000.00      800.00
00045           50000.00     -200.00
00046           50000.00        0.00
00047           32000.00    -1000.00
00048           64000.00     -600.00
00049           80000.00      800.00
00050           62000.00      800.00
00051           50000.00        0.00
00052           44000.00     -400.00
00053           64000.00     -200.00
00054           58000.00     -400.00
00055           52000.00     1000.00
00056           44000.00     -200.00
00057           68000.00     2000.00
00058           70000.00     1000.00
00059           70000.00     1600.00
00060           12000.00     -600.00
00061           28000.00     -800.00
00062           58000.00      400.00
00063           74000.00     1000.00
00064           46000.00     -200.00
00065           34000.00    -1200.00
00066           70000.00      800.00
00067           56000.00    -1200.00
00068           48000.00        0.00
00069           38000.00    -1400.00
00070           66000.00     -200.00
00071           42000.00     -400.00
00072           32000.00      600.00
00073           72000.00     1800.00
00074           42000.00      800.00
00075           44000.00      200.00
00076           54000.00    -1600.00
00077           50000.00        0.00
00078           80000.00     1200.00
00079           32000.00     -600.00
00080           56000.00     1200.00
00081           38000.00     -800.00
00082           48000.00      200.00
00083           36000.00     -800.00
00084           38000.00    -1600.00
00085           64000.00      800.00
00086           40000.00      200.00
00087           50000.00     -600.00
00088           62000.00     -800.00
00089           62000.00        0.00
00090           68000.00        0.00
00091           54000.00     1400.00
00092           72000.00      600.00
00093           42000.00      800.00
00094           82000.00     1000.00
00095           40000.00     -200.00
00096           86000.00     2200.00
00097           58000.00      200.00
00098           84000.00     1200.00
00099           66000.00     -600.00
00100           44000.00        0.00
00101           50000.00     -400.00
00102           84000.00     1200.00
00103           26000.00     -800.00
00104           58000.00      200.00
00105           44000.00      800.00
00106           58000.00     -600.00
00107           66000.00      400.00
00108           30000.00     -800.00
00109           62000.00        0.00
00110           36000.00     -800.00
00111           32000.00     -800.00
00112           32000.00     -400.00
00113           54000.00    -1000.00
00114           44000.00    -1800.00
00115           70000.00     1000.00
00116           44000.00     1200.00
00117           62000.00     -400.00
00118           42000.00      400.00
00119           42000.00     -600.00
00120           46000.00    -1200.00
00121           42000.00     -200.00
00122           58000.00     -600.00
00123           76000.00     1400.00
00124           34000.00     -200.00
00125           66000.00     1000.00
00126           66000.00      200.00
00127           52000.00        0.00
00128           70000.00     1600.00
00129           58000.00      400.00
00130           34000.00        0.00
00131           56000.00     1400.00
00132           58000.00      400.00
