Unit:(mV)
                     CH1         CH2
Frequency           <2Hz           ?
Period               N/A           ?
00001           66000.00     1200.00
00002           52000.00     -400.00
00003           36000.00     -600.00
00004           58000.00     1400.00
00005           40000.00    -1800.00
00006           32000.00    -1200.00
00007           52000.00     1000.00
00008           76000.00     2200.00
00009           78000.00     2200.00
00010           28000.00        0.00
00011           40000.00    -1200.00
00012           40000.00     1400.00
00013           48000.00      400.00
00014           46000.00    -1000.00
00015           30000.00    -1400.00
00016           64000.00     -200.00
00017           66000.00      800.00
00018           32000.00    -1000.00
00019           36000.00        0.00
00020           46000.00     -800.00
00021           40000.00     -600.00
00022           48000.00      600.00
00023           32000.00     -600.00
00024           34000.00        0.00
00025           46000.00     -600.00
00026           36000.00     -800.00
00027           72000.00     1200.00
00028           56000.00      200.00
00029           54000.00     -200.00
00030           48000.00      400.00
00031           60000.00      200.00
00032           48000.00    -1400.00
00033           18000.00    -1200.00
00034           82000.00        0.00
00035           38000.00     -200.00
00036           38000.00        0.00
00037           76000.00      400.00
00038           50000.00    -1000.00
00039           48000.00        0.00
00040           32000.00    -1800.00
00041           22000.00    -1000.00
00042           36000.00     -800.00
00043           36000.00     -400.00
00044           16000.00     -200.00
00045           36000.00        0.00
00046           26000.00     -400.00
00047           36000.00    -1000.00
00048           72000.00     1200.00
00049           44000.00      200.00
00050           76000.00      800.00
00051           24000.00    -1400.00
00052           72000.00     1600.00
00053           86000.00      400.00
00054           42000.00     -600.00
00055           48000.00      800.00
00056           74000.00      200.00
00057           16000.00     -800.00
00058           28000.00      400.00
00059           66000.00      600.00
00060           70000.00      200.00
00061           52000.00        0.00
00062           66000.00      600.00
00063           62000.00     1400.00
00064           44000.00     -400.00
00065           36000.00      600.00
00066           46000.00        0.00
00067           36000.00    -1200.00
00068           30000.00    -1000.00
00069           42000.00     -400.00
00070           40000.00     -400.00
00071           40000.00      800.00
00072           42000.00     1400.00
00073           42000.00      200.00
00074           52000.00    -1000.00
00075           78000.00        0.00
00076           36000.00    -1000.00
00077           26000.00    -1800.00
00078           40000.00      600.00
00079           72000.00        0.00
00080           40000.00      400.00
00081           36000.00     -800.00
00082           34000.00    -1400.00
00083           52000.00      600.00
00084           72000.00        0.00
00085           26000.00     -800.00
00086           38000.00    -1200.00
00087           64000.00     2000.00
00088           54000.00     -600.00
00089           40000.00      200.00
00090           38000.00        0.00
00091           56000.00      400.00
00092           74000.00     1200.00
00093           78000.00     1200.00
00094           38000.00      400.00
00095           60000.00     -200.00
00096           68000.00     1200.00
00097           48000.00      800.00
00098           38000.00        0.00
00099           42000.00     -800.00
00100           46000.00     1200.00
00101           36000.00    -1400.00
00102           34000.00     -200.00
00103           38000.00        0.00
00104           58000.00      800.00
00105           46000.00      800.00
00106           44000.00     -200.00
00107           34000.00    -1000.00
00108            8000.00    -1400.00
00109           18000.00     -400.00
00110           50000.00     -200.00
00111           62000.00      400.00
00112           58000.00     1600.00
00113           66000.00      800.00
00114           28000.00    -1000.00
00115           72000.00     1200.00
00116           52000.00     -600.00
00117           68000.00      800.00
00118           36000.00     -800.00
00119           80000.00     1800.00
00120           40000.00     -800.00
00121           24000.00      400.00
00122           36000.00    -1400.00
00123           46000.00     1000.00
00124           30000.00     -400.00
00125           52000.00     1000.00
00126           20000.00      400.00
00127           46000.00        0.00
00128           24000.00    -1800.00
00129           54000.00      400.00
00130           42000.00     -600.00
00131           30000.00    -1400.00
