Unit:(mV)
                     CH1         CH2
Frequency           <2Hz           ?
Period               N/A           ?
00001           64000.00     1000.00
00002           28000.00      400.00
00003           22000.00     -800.00
00004           22000.00     -800.00
00005           46000.00      800.00
00006           48000.00     -600.00
00007           26000.00    -1600.00
00008           80000.00     1000.00
00009           22000.00    -1000.00
00010           24000.00     -400.00
00011           54000.00     1000.00
00012           62000.00      600.00
00013           74000.00      200.00
00014           50000.00      800.00
00015           40000.00     -800.00
00016           72000.00     2000.00
00017           38000.00        0.00
00018           10000.00    -1000.00
00019           40000.00    -1400.00
00020           62000.00      600.00
00021           20000.00    -1400.00
00022           32000.00     -800.00
00023           18000.00     -200.00
00024           46000.00    -1000.00
00025           62000.00      400.00
00026           60000.00     -400.00
00027           56000.00      200.00
00028           36000.00        0.00
00029           82000.00     1200.00
00030           38000.00    -1000.00
00031           80000.00      200.00
00032           44000.00     -600.00
00033           28000.00        0.00
00034           46000.00      400.00
00035           30000.00    -1400.00
00036           52000.00     -200.00
00037           26000.00     -600.00
00038           14000.00     -600.00
00039           60000.00      400.00
00040           38000.00    -1000.00
00041           56000.00      800.00
00042           40000.00     1600.00
00043           20000.00     -800.00
00044           42000.00     -600.00
00045           46000.00    -1400.00
00046           68000.00     1200.00
00047           52000.00     1000.00
00048           34000.00     1000.00
00049           56000.00      200.00
00050           28000.00    -1200.00
00051           44000.00     -400.00
00052           48000.00     -200.00
00053           20000.00    -1200.00
00054           36000.00    -1600.00
00055           38000.00    -1800.00
00056           40000.00     -200.00
00057           18000.00      400.00
00058           82000.00     1800.00
00059           52000.00    -1000.00
00060           22000.00     1200.00
00061           80000.00     1600.00
00062           32000.00    -1400.00
00063           26000.00    -1400.00
00064           16000.00    -1200.00
00065           42000.00      200.00
00066           70000.00     1200.00
00067           48000.00     -200.00
00068           72000.00     1200.00
00069           52000.00     -800.00
00070           52000.00      400.00
00071           62000.00     1400.00
00072           48000.00     -200.00
00073           52000.00     -600.00
00074           62000.00     1800.00
00075           52000.00      200.00
00076           60000.00     1400.00
00077           42000.00        0.00
00078           34000.00     -200.00
00079           30000.00     -800.00
00080           78000.00     1600.00
00081           24000.00      600.00
00082           78000.00      600.00
00083           86000.00      600.00
00084           14000.00    -2400.00
00085           58000.00     1000.00
00086           80000.00      800.00
00087           78000.00     2200.00
00088           32000.00        0.00
00089           70000.00      200.00
00090           42000.00    -1000.00
00091           24000.00    -1200.00
00092           60000.00    -1200.00
00093           46000.00     -400.00
00094           78000.00      600.00
00095           80000.00     1600.00
00096           46000.00        0.00
00097           26000.00     -400.00
00098           60000.00      800.00
00099           56000.00        0.00
00100           52000.00      400.00
00101           66000.00        0.00
00102           26000.00      600.00
00103           26000.00    -1600.00
00104           76000.00      600.00
00105           28000.00     -400.00
00106           56000.00      400.00
00107           36000.00      200.00
00108           62000.00      600.00
00109           40000.00      200.00
00110           46000.00     -200.00
00111           38000.00    -1400.00
00112           22000.00     -800.00
00113           58000.00        0.00
00114           52000.00      400.00
00115           28000.00    -1400.00
00116           52000.00        0.00
00117           24000.00    -1000.00
00118           48000.00      800.00
00119           56000.00      600.00
00120           40000.00     -200.00
00121           60000.00      600.00
00122           58000.00     -200.00
00123           48000.00     -600.00
00124           44000.00     -400.00
00125           66000.00      200.00
00126           64000.00      600.00
00127           26000.00     -600.00
00128           68000.00      200.00
00129           80000.00      400.00
00130           86000.00     1400.00
00131           26000.00     -600.00
