Unit:(mV)
                     CH1         CH2
Frequency           <2Hz           ?
Period               N/A           ?
00001           72000.00      800.00
00002           40000.00    -1000.00
00003           36000.00     -600.00
00004           46000.00      600.00
00005           52000.00    -1200.00
00006           20000.00    -1800.00
00007           32000.00    -1800.00
00008           20000.00     -200.00
00009           76000.00     1400.00
00010           46000.00     1400.00
00011           76000.00     1000.00
00012           70000.00     1000.00
00013           68000.00     -600.00
00014           68000.00     1000.00
00015           52000.00      600.00
00016           44000.00     -200.00
00017           22000.00    -1200.00
00018           20000.00      200.00
00019           78000.00     2200.00
00020           26000.00    -1800.00
00021           76000.00     1600.00
00022           28000.00    -1400.00
00023           50000.00      600.00
00024           54000.00      800.00
00025           52000.00        0.00
00026           60000.00      600.00
00027           20000.00    -1800.00
00028           90000.00     1200.00
00029           54000.00     1000.00
00030           14000.00    -1200.00
00031           58000.00      800.00
00032           54000.00     1000.00
00033           46000.00      400.00
00034           24000.00    -2200.00
00035           48000.00      600.00
00036           36000.00     -400.00
00037           34000.00        0.00
00038           32000.00    -1200.00
00039           40000.00      400.00
00040           30000.00     -600.00
00041           36000.00        0.00
00042           60000.00     1600.00
00043           40000.00     -200.00
00044           30000.00    -1600.00
00045           28000.00    -2000.00
00046           42000.00     -600.00
00047           38000.00      600.00
00048           56000.00      600.00
00049           10000.00     -200.00
00050           48000.00     -600.00
00051           38000.00      200.00
00052           62000.00     -800.00
00053           60000.00     -200.00
00054           64000.00      600.00
00055           70000.00      800.00
00056           48000.00     -600.00
00057           64000.00     1200.00
00058           46000.00     -200.00
00059           72000.00     1200.00
00060           22000.00    -1400.00
00061           32000.00    -1800.00
00062           70000.00      400.00
00063           44000.00      600.00
00064           42000.00      800.00
00065           28000.00    -1400.00
00066           60000.00      200.00
00067           42000.00     -600.00
00068           34000.00     1000.00
00069           38000.00    -1200.00
00070           50000.00    -1400.00
00071           48000.00     1200.00
00072           42000.00      400.00
00073           82000.00     -200.00
00074           10000.00    -1200.00
00075           30000.00      200.00
00076           66000.00     1400.00
00077           24000.00     -600.00
00078           26000.00        0.00
00079           50000.00      200.00
00080           58000.00     -800.00
00081           70000.00     -600.00
00082           56000.00        0.00
00083           46000.00    -1400.00
00084           34000.00      200.00
00085           72000.00      200.00
00086           40000.00     -800.00
00087           24000.00     -800.00
00088           42000.00     -400.00
00089           42000.00     1000.00
00090           66000.00     -200.00
00091           30000.00      400.00
00092           56000.00     2000.00
00093           88000.00     1200.00
00094           66000.00      400.00
00095           48000.00     -800.00
00096           70000.00      800.00
00097           68000.00     -600.00
00098           28000.00    -1000.00
00099           40000.00    -1400.00
00100           74000.00      800.00
00101           28000.00      200.00
00102           42000.00    -1200.00
00103           54000.00     -600.00
00104           64000.00        0.00
00105           38000.00      400.00
00106           50000.00     -800.00
00107           70000.00     1400.00
00108           52000.00      200.00
00109           44000.00      200.00
00110           18000.00     -200.00
00111           40000.00    -1200.00
00112           70000.00        0.00
00113           44000.00      200.00
00114           50000.00      200.00
00115           58000.00      400.00
00116           22000.00     -600.00
00117           52000.00      200.00
00118           62000.00      400.00
00119           64000.00     1200.00
00120           28000.00     -400.00
00121           58000.00     -200.00
00122           38000.00        0.00
00123           48000.00     -800.00
00124           68000.00      200.00
00125           32000.00    -1000.00
00126           42000.00     -800.00
00127           20000.00    -1000.00
00128           74000.00        0.00
00129           26000.00    -2200.00
00130           14000.00     -800.00
00131           40000.00        0.00
