Unit:(mV)
                     CH1         CH2
Frequency           <2Hz           ?
Period               N/A           ?
00001           70000.00      400.00
00002           40000.00     -600.00
00003           16000.00    -1800.00
00004           36000.00      600.00
00005           58000.00     1600.00
00006           46000.00     -200.00
00007           68000.00      200.00
00008           64000.00     1400.00
00009           26000.00      600.00
00010           82000.00     -600.00
00011           38000.00      200.00
00012           70000.00     -200.00
00013           48000.00      400.00
00014           64000.00     1800.00
00015           10000.00     -800.00
00016           16000.00     -400.00
00017           38000.00     -200.00
00018           18000.00     -400.00
00019           38000.00     -600.00
00020           46000.00     -400.00
00021           18000.00    -1200.00
00022           50000.00      200.00
00023           22000.00    -1000.00
00024           22000.00    -1400.00
00025           42000.00     -600.00
00026           44000.00      200.00
00027           74000.00      600.00
00028           50000.00     -400.00
00029           48000.00     1200.00
00030           52000.00      600.00
00031           44000.00      400.00
00032           64000.00        0.00
00033           78000.00      800.00
00034           70000.00     1200.00
00035           58000.00      800.00
00036           40000.00      400.00
00037           62000.00      200.00
00038           56000.00        0.00
00039           72000.00     2000.00
00040           40000.00        0.00
00041           50000.00     -800.00
00042           60000.00     1000.00
00043           12000.00    -1400.00
00044           38000.00     -400.00
00045           60000.00     1800.00
00046           74000.00      200.00
00047           38000.00    -2400.00
00048           62000.00        0.00
00049           36000.00        0.00
00050           56000.00     -800.00
00051           54000.00     1200.00
00052           68000.00     1600.00
00053           28000.00    -1800.00
00054           48000.00     -400.00
00055           26000.00     -800.00
00056           64000.00      200.00
00057           38000.00     -800.00
00058           64000.00     1200.00
00059           54000.00      600.00
00060           72000.00      600.00
00061           74000.00      200.00
00062           80000.00      800.00
00063           38000.00    -1000.00
00064           22000.00     -200.00
00065           38000.00     -800.00
00066           64000.00     -600.00
00067           64000.00      400.00
00068           32000.00    -1600.00
00069           58000.00     1000.00
00070           80000.00      200.00
00071           66000.00      200.00
00072           68000.00        0.00
00073           62000.00     1800.00
00074           40000.00     -400.00
00075           64000.00     1200.00
00076           20000.00    -2000.00
00077           28000.00    -1000.00
00078           26000.00     -600.00
00079           54000.00     -400.00
00080           28000.00    -1000.00
00081           74000.00     1200.00
00082           28000.00    -1000.00
00083           24000.00     -600.00
00084           72000.00     2200.00
00085           52000.00    -1000.00
00086           56000.00     1200.00
00087           64000.00     -200.00
00088           78000.00      800.00
00089           44000.00     -400.00
00090           26000.00    -1200.00
00091           52000.00     1000.00
00092           50000.00     1400.00
00093           24000.00    -2400.00
00094           48000.00      200.00
00095           58000.00      600.00
00096           56000.00     -200.00
00097           72000.00      400.00
00098           26000.00     -400.00
00099           42000.00     -400.00
00100           70000.00    -1200.00
00101           26000.00    -2000.00
00102           32000.00    -1000.00
00103           12000.00     -800.00
00104           16000.00    -2200.00
00105           84000.00      800.00
00106           62000.00     1600.00
00107           54000.00      400.00
00108           60000.00      600.00
00109           52000.00     1400.00
00110           26000.00    -1400.00
00111           48000.00        0.00
00112           52000.00     1200.00
00113           60000.00     1400.00
00114           42000.00     -800.00
00115           32000.00      400.00
00116           44000.00     -200.00
00117           26000.00     -200.00
00118           48000.00     -400.00
00119           60000.00      800.00
00120           42000.00     -200.00
00121           48000.00      200.00
00122           56000.00      400.00
00123           28000.00    -1000.00
00124           44000.00    -1200.00
00125           40000.00     -200.00
00126           24000.00    -1000.00
00127           30000.00    -1200.00
00128           70000.00     2000.00
00129           26000.00    -1000.00
00130           54000.00      200.00
