Unit:(mV)
                     CH1         CH2
Frequency           <2Hz           ?
Period               N/A           ?
00001           50000.00    -1000.00
00002           30000.00      400.00
00003           66000.00      800.00
00004           34000.00     -400.00
00005           64000.00      800.00
00006           60000.00     -600.00
00007           42000.00      400.00
00008           44000.00     -600.00
00009           16000.00     -600.00
00010           38000.00     -200.00
00011           40000.00     -400.00
00012           58000.00     -200.00
00013           70000.00     -200.00
00014           62000.00      400.00
00015           60000.00      600.00
00016           62000.00      600.00
00017           20000.00        0.00
00018           56000.00     1000.00
00019           70000.00        0.00
00020           72000.00     1000.00
00021           40000.00     -600.00
00022           44000.00      600.00
00023           34000.00      800.00
00024           40000.00    -2200.00
00025           66000.00      400.00
00026           40000.00     -200.00
00027           68000.00     1400.00
00028           60000.00     1600.00
00029           48000.00      600.00
00030           50000.00     -600.00
00031           60000.00     1400.00
00032           26000.00    -1000.00
00033           34000.00      200.00
00034           64000.00      600.00
00035           60000.00        0.00
00036           46000.00      200.00
00037           44000.00      400.00
00038           42000.00        0.00
00039           68000.00     1000.00
00040           24000.00    -1000.00
00041           26000.00    -1600.00
00042           80000.00     1000.00
00043           70000.00     1200.00
00044           78000.00     1400.00
00045           70000.00      800.00
00046           32000.00    -1400.00
00047           20000.00     -600.00
00048           42000.00      200.00
00049           58000.00     -600.00
00050           76000.00     1400.00
00051           68000.00     1200.00
00052           46000.00      200.00
00053           24000.00    -1200.00
00054           74000.00     1200.00
00055           46000.00     -800.00
00056           34000.00        0.00
00057           24000.00     -800.00
00058           48000.00      600.00
00059           52000.00     -800.00
00060           54000.00        0.00
00061           42000.00     -600.00
00062           58000.00     1400.00
00063           30000.00      400.00
00064           36000.00     1200.00
00065           42000.00      600.00
00066           34000.00    -1400.00
00067           42000.00     -800.00
00068           38000.00      800.00
00069           62000.00      400.00
00070           58000.00     1800.00
00071           46000.00     -600.00
00072           50000.00      200.00
00073           46000.00     -200.00
00074           36000.00        0.00
00075           24000.00    -1000.00
00076           30000.00    -1200.00
00077           48000.00     -600.00
00078           52000.00     -800.00
00079           38000.00        0.00
00080           66000.00      400.00
00081           28000.00    -1000.00
00082           70000.00     1000.00
00083           70000.00      800.00
00084           62000.00     -200.00
00085           50000.00    -1600.00
00086           30000.00     -800.00
00087           20000.00     -400.00
00088           28000.00    -1000.00
00089           58000.00      200.00
00090           84000.00     1800.00
00091           32000.00    -1800.00
00092           58000.00     -800.00
00093           42000.00      600.00
00094           46000.00     1000.00
00095           56000.00     -800.00
00096           56000.00     -200.00
00097           82000.00     2000.00
00098           42000.00      400.00
00099           38000.00    -1600.00
00100           56000.00      400.00
00101           32000.00      600.00
00102           42000.00     -200.00
00103           48000.00    -1000.00
00104           54000.00     -600.00
00105           36000.00        0.00
00106           40000.00    -1000.00
00107           40000.00      400.00
00108           40000.00     -200.00
00109           44000.00      800.00
00110           26000.00     -400.00
00111           54000.00     1800.00
00112           74000.00     1600.00
00113           56000.00      200.00
00114           52000.00     -800.00
00115           58000.00      600.00
00116           84000.00        0.00
00117           58000.00     1000.00
00118           30000.00    -1000.00
00119           64000.00     -600.00
00120           40000.00     -200.00
00121           54000.00        0.00
00122           66000.00        0.00
00123           54000.00     -200.00
00124           62000.00      800.00
00125           48000.00     -600.00
00126           56000.00      600.00
00127           40000.00      200.00
00128           52000.00     -600.00
00129           34000.00    -1600.00
00130           74000.00     -200.00
00131           20000.00      200.00
00132           70000.00      400.00
