Unit:(mV)
                     CH1         CH2
Frequency           <2Hz           ?
Period               N/A           ?
00001           26000.00     -600.00
00002           44000.00     -800.00
00003           20000.00     -400.00
00004           34000.00    -1400.00
00005           52000.00     -800.00
00006           50000.00     -800.00
00007           22000.00      400.00
00008           32000.00     -400.00
00009           26000.00    -1800.00
00010           48000.00    -1000.00
00011           54000.00     1000.00
00012           76000.00     1000.00
00013           50000.00      200.00
00014           76000.00      600.00
00015           34000.00     -400.00
00016           58000.00      200.00
00017           46000.00      600.00
00018           32000.00    -1800.00
00019           56000.00      600.00
00020           44000.00      800.00
00021           56000.00    -1000.00
00022           36000.00      200.00
00023           54000.00     1800.00
00024           54000.00      600.00
00025           38000.00     -400.00
00026           40000.00      400.00
00027           34000.00     -200.00
00028           72000.00        0.00
00029           42000.00      800.00
00030           50000.00     1000.00
00031           22000.00    -1600.00
00032           46000.00      200.00
00033           42000.00        0.00
00034           38000.00      200.00
00035           62000.00      800.00
00036           28000.00      600.00
00037           38000.00     -600.00
00038           28000.00    -1000.00
00039           62000.00      800.00
00040           32000.00    -1000.00
00041           32000.00      200.00
00042           50000.00     -200.00
00043           60000.00      400.00
00044           54000.00        0.00
00045           36000.00     -200.00
00046           42000.00      200.00
00047           72000.00      800.00
00048           62000.00        0.00
00049           50000.00      200.00
00050           44000.00      400.00
00051           68000.00     1000.00
00052           56000.00     -600.00
00053           44000.00      600.00
00054           30000.00     -600.00
00055           74000.00      800.00
00056           58000.00        0.00
00057           32000.00        0.00
00058           82000.00     1800.00
00059           22000.00     -800.00
00060           52000.00     -400.00
00061           36000.00        0.00
00062           78000.00     1800.00
00063           88000.00     2400.00
00064           46000.00      800.00
00065           66000.00      600.00
00066           22000.00     -600.00
00067           28000.00     1400.00
00068           74000.00      800.00
00069           56000.00     -600.00
00070           46000.00      600.00
00071           42000.00     -800.00
00072           32000.00      400.00
00073           40000.00        0.00
00074           62000.00     1200.00
00075           72000.00     1800.00
00076           26000.00      800.00
00077           56000.00     1600.00
00078           26000.00    -1200.00
00079           50000.00      800.00
00080           18000.00     -800.00
00081           54000.00     1000.00
00082           66000.00      800.00
00083           62000.00     -800.00
00084           70000.00     1400.00
00085           54000.00      800.00
00086           74000.00     -200.00
00087           54000.00     -600.00
00088           38000.00     -400.00
00089           42000.00    -1400.00
00090           40000.00    -1200.00
00091           34000.00     -400.00
00092           70000.00     1400.00
00093           34000.00      600.00
00094           28000.00      400.00
00095           58000.00     1200.00
00096           28000.00    -1200.00
00097           22000.00     -400.00
00098           48000.00      400.00
00099           28000.00      600.00
00100           56000.00     -400.00
00101           44000.00     -400.00
00102           62000.00     1000.00
00103           44000.00      400.00
00104           68000.00      600.00
00105           26000.00    -1000.00
00106           24000.00    -1000.00
00107           66000.00     1600.00
00108           36000.00     -600.00
00109           50000.00     -400.00
00110           46000.00      600.00
00111           78000.00     1200.00
00112           54000.00     1200.00
00113           60000.00      600.00
00114           46000.00     -600.00
00115           68000.00      600.00
00116           66000.00     -200.00
00117           36000.00    -1000.00
00118           28000.00     -600.00
00119           52000.00      400.00
00120           60000.00      200.00
00121           50000.00     -200.00
00122           80000.00      800.00
00123           46000.00      800.00
00124           32000.00    -1600.00
00125           68000.00      800.00
00126           52000.00     1000.00
00127           48000.00      800.00
00128           56000.00      400.00
00129           36000.00      600.00
00130           52000.00      400.00
00131           30000.00     -800.00
00132           24000.00     -400.00
