Unit:(mV)
                     CH1         CH2
Frequency           <2Hz           ?
Period               N/A           ?
00001           60000.00     -600.00
00002           24000.00     -800.00
00003           72000.00     1000.00
00004           64000.00      400.00
00005           38000.00    -1000.00
00006           30000.00     -600.00
00007           58000.00     1400.00
00008           72000.00     2000.00
00009           14000.00    -1000.00
00010           44000.00     -400.00
00011           34000.00     -200.00
00012           30000.00     -800.00
00013           28000.00     -600.00
00014           28000.00    -1200.00
00015           28000.00      200.00
00016           34000.00    -1600.00
00017           32000.00    -1800.00
00018           56000.00     1000.00
00019           82000.00     1000.00
00020           32000.00    -1800.00
00021           44000.00      200.00
00022           26000.00     -400.00
00023           40000.00      200.00
00024           60000.00      800.00
00025           16000.00    -1000.00
00026           78000.00     2000.00
00027           76000.00     1400.00
00028           50000.00      600.00
00029           70000.00     1000.00
00030           38000.00      200.00
00031           36000.00     -400.00
00032           58000.00        0.00
00033           48000.00     -400.00
00034           66000.00     -600.00
00035           66000.00      600.00
00036           34000.00     -400.00
00037           50000.00     -600.00
00038           44000.00     -400.00
00039           44000.00     -800.00
00040           34000.00     -600.00
00041           56000.00      400.00
00042           30000.00        0.00
00043           54000.00     -600.00
00044           22000.00     -400.00
00045           40000.00     -400.00
00046           56000.00     -200.00
00047           32000.00     -200.00
00048           40000.00     -800.00
00049           42000.00     -600.00
00050           36000.00     -400.00
00051           54000.00      600.00
00052           56000.00     -400.00
00053           58000.00      200.00
00054           70000.00      400.00
00055           32000.00     -600.00
00056           18000.00     -200.00
00057           56000.00      400.00
00058           30000.00     -600.00
00059           52000.00      800.00
00060           56000.00        0.00
00061           36000.00    -1200.00
00062           36000.00    -1000.00
00063           74000.00     1200.00
00064           26000.00    -1400.00
00065           38000.00      600.00
00066           44000.00    -1200.00
00067           60000.00     -600.00
00068           26000.00        0.00
00069           50000.00     1800.00
00070           34000.00     -600.00
00071           58000.00     -200.00
00072           64000.00     1400.00
00073           34000.00      200.00
00074           30000.00    -2000.00
00075           32000.00        0.00
00076           82000.00      600.00
00077           74000.00      200.00
00078           30000.00    -1200.00
00079           68000.00     1000.00
00080           36000.00        0.00
00081           36000.00     -600.00
00082           58000.00     1400.00
00083           60000.00     1800.00
00084           54000.00      400.00
00085           24000.00    -1400.00
00086           26000.00    -1400.00
00087           40000.00    -1200.00
00088           56000.00     1000.00
00089           34000.00      800.00
00090           36000.00      200.00
00091           42000.00     1200.00
00092           26000.00     -400.00
00093           66000.00      400.00
00094           78000.00      800.00
00095           28000.00     -600.00
00096           40000.00     -400.00
00097           72000.00     1600.00
00098           18000.00    -1400.00
00099           48000.00    -1200.00
00100           32000.00    -1200.00
00101           52000.00     1000.00
00102           24000.00    -1000.00
00103           24000.00        0.00
00104           54000.00    -1000.00
00105           44000.00      600.00
00106           72000.00      600.00
00107           56000.00        0.00
00108           38000.00     -600.00
00109           58000.00      800.00
00110           40000.00     -200.00
00111           44000.00        0.00
00112           56000.00     -600.00
00113           62000.00     1200.00
00114           38000.00     -400.00
00115           18000.00      200.00
00116           24000.00    -1200.00
00117           66000.00      200.00
00118           32000.00    -1400.00
00119           66000.00        0.00
00120           78000.00     1000.00
00121           44000.00     -600.00
00122           58000.00      600.00
00123           70000.00      600.00
00124           44000.00      400.00
00125           82000.00     1400.00
00126           28000.00    -1600.00
00127           70000.00     -400.00
00128           34000.00     -600.00
00129           50000.00      600.00
00130           34000.00     -600.00
00131           64000.00      600.00
