Unit:(mV)
                     CH1         CH2
Frequency           <2Hz           ?
Period               N/A           ?
00001           70000.00      400.00
00002           32000.00    -1400.00
00003           48000.00     -600.00
00004           50000.00     -600.00
00005           76000.00     1400.00
00006           14000.00    -1600.00
00007           46000.00      200.00
00008           26000.00        0.00
00009           22000.00     -200.00
00010           38000.00     -800.00
00011           64000.00      200.00
00012           46000.00     -600.00
00013           54000.00      200.00
00014           46000.00        0.00
00015           64000.00      200.00
00016           58000.00     1000.00
00017           66000.00     1200.00
00018           62000.00     1800.00
00019           30000.00     -800.00
00020           20000.00    -1400.00
00021           30000.00     -600.00
00022           40000.00    -1800.00
00023           82000.00     2600.00
00024           64000.00    -1000.00
00025           50000.00     1000.00
00026           14000.00    -1200.00
00027           60000.00      800.00
00028           38000.00     -600.00
00029           28000.00     -800.00
00030           52000.00    -1000.00
00031           50000.00      600.00
00032           22000.00    -1400.00
00033           24000.00     -400.00
00034           50000.00     -200.00
00035           32000.00    -1400.00
00036           34000.00      400.00
00037           68000.00        0.00
00038           38000.00    -2200.00
00039           26000.00     -800.00
00040           40000.00     -400.00
00041           58000.00     1400.00
00042           58000.00     -200.00
00043           76000.00     1200.00
00044           16000.00     -800.00
00045           66000.00    -1000.00
00046           52000.00        0.00
00047           52000.00     1000.00
00048           52000.00     1000.00
00049           38000.00     -400.00
00050           64000.00      600.00
00051           40000.00     -800.00
00052           52000.00     -400.00
00053           66000.00     1000.00
00054           48000.00        0.00
00055           66000.00     -200.00
00056           38000.00      400.00
00057           46000.00      800.00
00058           80000.00     1000.00
00059           76000.00      800.00
00060           38000.00    -1200.00
00061           44000.00      400.00
00062           28000.00    -1200.00
00063           34000.00     -800.00
00064           42000.00     -800.00
00065           66000.00     1200.00
00066           60000.00      400.00
00067           56000.00      600.00
00068           58000.00      600.00
00069           24000.00    -1200.00
00070           30000.00      400.00
00071           26000.00     -800.00
00072           56000.00        0.00
00073           58000.00      600.00
00074           42000.00    -1400.00
00075           54000.00        0.00
00076           48000.00      400.00
00077           22000.00    -1800.00
00078           32000.00      600.00
00079           30000.00      600.00
00080           62000.00     1000.00
00081           32000.00    -1600.00
00082           50000.00        0.00
00083           38000.00     -200.00
00084           28000.00    -1400.00
00085           36000.00     -200.00
00086           50000.00    -1000.00
00087           46000.00    -1000.00
00088           62000.00        0.00
00089           42000.00    -1200.00
00090           76000.00      200.00
00091           50000.00     -600.00
00092           64000.00     1000.00
00093           34000.00     -400.00
00094           38000.00    -1600.00
00095           70000.00     2000.00
00096           50000.00      400.00
00097           54000.00      400.00
00098           62000.00     1000.00
00099           10000.00    -1800.00
00100           54000.00     1000.00
00101           46000.00     -400.00
00102           44000.00     1000.00
00103           42000.00    -1200.00
00104           40000.00     1000.00
00105           58000.00      200.00
00106           70000.00     2000.00
00107           64000.00     1400.00
00108           24000.00     -400.00
00109           62000.00     -800.00
00110           64000.00     1600.00
00111           56000.00        0.00
00112           58000.00     1000.00
00113           52000.00        0.00
00114           40000.00      800.00
00115           38000.00        0.00
00116           62000.00        0.00
00117           62000.00      400.00
00118           34000.00        0.00
00119           42000.00      600.00
00120           68000.00     1200.00
00121           28000.00     -600.00
00122           60000.00     1200.00
00123           54000.00    -1200.00
00124           40000.00        0.00
00125           56000.00      800.00
00126           18000.00     -200.00
00127           12000.00     -800.00
00128           32000.00     -200.00
00129           54000.00      600.00
00130           66000.00        0.00
00131           52000.00        0.00
